eval/return/yrp54ccz,eval/return/8ijn9b1d,eval/return/7l4hzuv5,eval/return/jhd24ua7,eval/return/i91cq4vx,eval/return/r1njeml3,eval/return/9lpcpxmp,eval/return/3kbjkcq7,eval/return/53rner56,eval/return/7abx8o9g,step,wallclock
158810.375,157098.390625,157435.703125,158981.078125,170968.171875,159656.25,156337.796875,164601.609375,158731.890625,151644.890625,1783262.0,0.5311926937907935
159006.40625,156883.46875,157030.6875,158672.5625,171890.46875,159715.671875,151268.90625,163327.1875,157571.5625,150733.9375,1799928.0,0.5361571114897729
158815.265625,156960.546875,156211.5,159431.984375,170209.28125,159779.3125,155046.59375,162042.71875,156202.453125,151231.5625,1816594.0,0.5411215291887522
158639.734375,156546.34375,157531.578125,157507.875,170957.25,157096.5,156289.546875,159949.453125,149974.09375,151783.15625,1833260.0,0.5460859468877316
158596.5,157278.171875,157416.5625,160497.84375,170943.53125,159814.84375,154801.109375,155793.59375,152652.953125,150529.671875,1849926.0,0.551050364586711
158733.75,156186.1875,157312.359375,159640.765625,167853.78125,160001.6875,156516.109375,143144.71875,153579.234375,151053.5,1866592.0,0.5560147822856903
151853.640625,155801.03125,157169.828125,161259.890625,170630.25,159474.171875,154126.953125,160562.1875,159363.234375,151436.703125,1883258.0,0.5609791999846697
157986.71875,157349.8125,157447.59375,159868.125,171491.078125,159273.5,155133.390625,159211.46875,157587.171875,150991.78125,1899924.0,0.5659436176836491
159095.609375,156452.125,157436.1875,158814.203125,170512.890625,159671.859375,155989.640625,159561.203125,155168.421875,150587.5625,1916590.0,0.5709080353826285
158168.71875,157211.875,157437.265625,161777.203125,170182.09375,159381.171875,153799.484375,160369.46875,151821.765625,151608.84375,1933256.0,0.5758724530816078
153076.1875,157001.640625,157421.0625,164964.171875,169879.5625,159717.96875,156701.078125,158248.515625,155725.15625,150661.359375,1949922.0,0.5808368707805872
159151.203125,156902.203125,157500.578125,164885.890625,169361.171875,159803.125,156635.046875,73398.265625,157755.515625,150216.828125,1966588.0,0.5858012884795667
159453.671875,157278.9375,157445.15625,167438.578125,172296.5625,159337.84375,157165.34375,161709.515625,158913.90625,150663.828125,1983254.0,0.5907657061785461
159380.328125,157399.109375,157922.484375,168007.96875,172645.515625,159609.96875,157017.59375,164172.75,160084.484375,150266.4375,1999920.0,0.5957301238775254
159312.90625,157405.9375,157345.765625,167527.921875,167669.28125,159306.5625,155991.890625,154581.296875,159952.046875,150963.65625,2016586.0,0.6006945415765048
159040.890625,156376.375,157765.875,168776.109375,172558.328125,159584.890625,154407.765625,161935.96875,158853.21875,150734.984375,2033252.0,0.6056589592754842
159504.984375,156889.015625,157739.96875,163380.3125,169779.953125,159368.5,155470.359375,160342.453125,158950.765625,150972.578125,2049918.0,0.6106233769744636
159242.125,156599.03125,157277.578125,167418.96875,171420.640625,159406.25,156066.0,161242.375,159719.640625,151279.921875,2066584.0,0.6155877946734429
158809.578125,155851.984375,157285.09375,166925.078125,170841.4375,158991.46875,156760.265625,162637.765625,156863.65625,151188.640625,2083250.0,0.6205522123724223
159211.921875,157185.34375,155581.3125,168317.546875,171098.328125,159943.03125,154637.734375,164014.5625,159569.546875,151401.921875,2099916.0,0.6255166300714017
159291.359375,157342.65625,156825.75,167704.171875,171644.546875,159196.25,157120.015625,159686.640625,157946.96875,151799.109375,2116582.0,0.630481047770381
159096.203125,157464.328125,157108.875,164185.140625,168434.40625,159756.0625,156882.03125,164708.0625,161023.953125,150974.59375,2133248.0,0.6354454654693604
159431.375,156533.15625,154535.25,165456.328125,170665.109375,159314.875,157261.484375,164062.5,158348.6875,151425.421875,2149914.0,0.6404098831683398
159116.53125,156284.453125,153524.71875,164815.3125,170992.765625,159635.421875,156639.625,163700.546875,159049.625,151017.8125,2166580.0,0.6453743008673192
159417.25,142775.0625,157459.46875,168447.625,167297.34375,159789.25,156750.578125,164088.59375,160076.828125,149883.0625,2183246.0,0.6503387185662985
159212.96875,80820.9140625,156403.484375,166024.328125,171232.5625,159761.046875,157121.828125,163949.0,159759.328125,152204.4375,2199912.0,0.6553031362652779
159436.53125,157179.078125,157546.703125,166946.0625,171651.65625,159751.09375,157460.8125,164502.34375,157103.265625,151849.796875,2216578.0,0.6602675539642573
159461.1875,156458.890625,156820.21875,169064.53125,171139.8125,159726.4375,157301.078125,164675.859375,156533.859375,151895.875,2233244.0,0.6652319716632367
159024.8125,156928.515625,157201.015625,170238.578125,98022.703125,158904.390625,157191.578125,164149.125,160002.328125,151796.578125,2249910.0,0.670196389362216
159305.109375,154927.5625,156748.015625,170375.171875,168431.421875,159062.96875,157020.828125,163730.65625,158550.984375,147087.0,2266576.0,0.6751608070611954
159238.4375,155854.296875,157210.546875,165822.9375,169781.015625,159590.296875,157196.296875,164000.0,160922.03125,152335.203125,2283242.0,0.6801252247601748
158032.953125,156354.078125,156019.1875,170802.6875,169942.546875,159196.546875,157255.046875,160131.3125,158975.0,151261.1875,2299908.0,0.6850896424591542
159474.65625,156857.046875,157627.140625,167247.609375,170178.1875,159153.921875,157261.625,162390.0,160402.46875,151906.90625,2316574.0,0.6900540601581336
158807.046875,155667.734375,157519.390625,170279.328125,170746.4375,104263.9765625,156885.8125,162874.359375,159726.890625,151622.796875,2333240.0,0.695018477857113
157908.921875,157011.5,157415.515625,170227.53125,170715.703125,139962.015625,157065.40625,162046.84375,158773.421875,137825.03125,2349906.0,0.6999828955560924
158480.75,155923.46875,157586.703125,170673.84375,170516.765625,159336.125,157074.53125,162414.65625,160424.09375,142621.828125,2366572.0,0.7049473132550718
157204.328125,156345.109375,155806.375,169373.515625,170752.796875,147465.53125,156580.296875,163205.15625,159958.421875,148610.8125,2383238.0,0.7099117309540511
159199.859375,155829.953125,156893.625,170191.671875,171853.4375,155213.8125,156867.09375,164811.9375,164281.546875,149492.671875,2399904.0,0.7148761486530305
158446.15625,155602.5,157390.65625,170496.59375,172062.03125,156946.890625,156789.015625,164903.296875,160136.484375,150226.859375,2416570.0,0.7198405663520099
158427.921875,155762.1875,157127.640625,171455.25,170548.71875,159594.46875,156776.25,163249.703125,158919.0,152054.828125,2433236.0,0.7248049840509893
158736.5625,155957.71875,156902.25,170668.0,172531.0625,158977.609375,157141.03125,165831.28125,161066.71875,151916.671875,2449902.0,0.7297694017499686
